Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Gao, Zhongpai; Zhai, Guangtao; Gu, Xiao; Zhou, Jiantao; ",Adapting hierarchical als algorithms for temporal psychovisual modulation,2015 IEEE International Symposium on Circuits and Systems (ISCAS),,,2756-2759,2015,IEEE
"Gu, Ke; Zhai, Guangtao; Wang, Shiqi; Liu, Min; Zhoi, Jiantao; Lin, Weisi; ",A general histogram modification framework for efficient contrast enhancement,2015 IEEE International Symposium on Circuits and Systems (ISCAS),,,2816-2819,2015,IEEE
"Liu, Jing; Zhai, Guangtao; Yang, Xiaokang; Chen, Chang Wen; ",Image inpainting with adaptive linear predictor,2015 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2015,IEEE
"Gu, Ke; Liu, Min; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",Quality Assessment Considering Viewing Distance and Image Resolution.,IEEE Transactions on Broadcasting,61,3,520-531,2015,
"Gu, Ke; Wang, Shiqi; Zhai, Guangtao; Ma, Siwei; Yang, Xiaokang; Zhang, Wenjun; ",Content-weighted mean-squared error for quality assessment of compressed images,"Signal, Image and Video Processing",10,5,803-810,2016,Springer London London
"Liu, Yutao; Zhai, Guangtao; Zhao, Debin; Liu, Xianming; ",Frame rate and perceptual quality for HD video,Pacific Rim Conference on Multimedia,,,497-505,2015,Springer International Publishing Cham
"Che, Zhaohui; Zhai, Guangtao; Min, Xiongkuo; ",Influence of spatial resolution on state-of-the-art saliency models,Pacific Rim Conference on Multimedia,,,74-83,2015,Springer International Publishing Cham
"Hu, Chunjia; Zhai, Guangtao; Gao, Zhongpai; ",Visible light communication via temporal psycho-visual modulation,Proceedings of the 23rd ACM international conference on Multimedia,,,785-788,2015,
"Gao, Zhongpai; Zhai, Guangtao; Hu, Chunjia; ",The invisible QR code,Proceedings of the 23rd ACM international conference on Multimedia,,,1047-1050,2015,
"Che, Zhaohui; Zhai, Guangtao; Min, Xiongkuo; ",A hierarchical saliency detection approach for bokeh images,2015 IEEE 17th International Workshop on Multimedia Signal Processing (MMSP),,,1-6,2015,IEEE
"Hu, Chunjia; Zhai, Guangtao; Gao, Zhongpai; ",Quality enhancement of the multi-view exhibition system,TENCON 2015-2015 IEEE Region 10 Conference,,,1-5,2015,IEEE
"Lin, Wei; Zhai, Guangtao; Lan, Feng; ",Fast and robust questionnaire recognition on mobile device,TENCON 2015-2015 IEEE Region 10 Conference,,,1-5,2015,IEEE
"Lan, Feng; Zhai, Guangtao; Lin, Wei; ",Lightweight smart glass system with audio aid for visually impaired people,Tencon 2015-2015 IEEE Region 10 Conference,,,1-4,2015,IEEE
"Gu, Ke; Wang, Shiqi; Zhai, Guangtao; Ma, Siwei; Yang, Xiaokang; Lin, Weisi; Zhang, Wenjun; Gao, Wen; ","Blind quality assessment of tone-mapped images via analysis of information, naturalness, and structure",IEEE Transactions on Multimedia,18,3,432-443,2016,IEEE
"Gu, Ke; Wang, Shiqi; Zhai, Guangtao; Lin, Weisi; Yang, Xiaokang; Zhang, Wenjun; ",Analysis of distortion distribution for pooling in image quality prediction,IEEE Transactions on Broadcasting,62,2,446-456,2016,IEEE
"Gao, Zhongpai; Zhai, Guangtao; Zhou, Jiantao; ",Factorization algorithms for temporal psychovisual modulation display,IEEE Transactions on Multimedia,18,4,614-626,2016,IEEE
"Gu, Ke; Zhai, Guangtao; Lin, Weisi; Yang, Xiaokang; Zhang, Wenjun; ",Learning a blind quality evaluation engine of screen content images,Neurocomputing,196,,140-149,2016,Elsevier
"Gu, Ke; Wang, Shiqi; Yang, Huan; Lin, Weisi; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",Saliency-guided quality assessment of screen content images,IEEE Transactions on Multimedia,18,6,1098-1110,2016,IEEE
"Min, Xiongkuo; Zhai, Guangtao; Gu, Ke; Yang, Xiaokang; ",Fixation prediction through multimodal analysis,"ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM)",13,1,1-23,2016,"ACM New York, NY, USA"
"Min, Xiongkuo; Zhai, Guangtao; Gu, Ke; ",Visual attention on human face,2015 Visual Communications and Image Processing (VCIP),,,1-4,2015,IEEE
"Gu, Haining; Zhai, Guangtao; Liu, Min; Gu, Ke; ",Exploiting global and local information for image quality assessment with contrast change,2015 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting,,,1-5,2015,IEEE
"Zhu, Yucheng; Zhai, Guangtao; Gu, Ke; Che, Zhaohui; ",No-reference image quality assessment for photographic images of consumer device,"2016 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,1085-1089,2016,IEEE
"Gu, Ke; Lin, Weisi; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; Chen, Chang Wen; ",No-reference quality metric of contrast-distorted images based on information maximization,IEEE transactions on cybernetics,47,12,4559-4565,2016,IEEE
"Zhu, Yucheng; Zhai, Guangtao; Gu, Ke; Che, Zhaohui; ",Closing the gap: Visual quality assessment considering viewing conditions,2016 Eighth International Conference on Quality of Multimedia Experience (QoMEX),,,1-6,2016,IEEE
"Che, Zhaohui; Zhai, Guangtao; Gu, Ke; Zhu, Yucheng; Zhou, Jiantao; ",Perceptually meaningful quadtree decomposition using dual-homogeneous criteria,2016 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),,,1-4,2016,IEEE
"Zhu, Yucheng; Zhai, Guangtao; Gu, Ke; Che, Zhaohui; Li, Duo; ",Stereoscopic image quality assessment with the dual-weight model,2016 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),,,1-6,2016,IEEE
"Liu, Min; Gu, Ke; Zhai, Guangtao; Zhou, Jiantao; Lin, Weisi; ",Quality assessment of contrast-altered images,2016 IEEE International Symposium on Circuits and Systems (ISCAS),,,2214-2217,2016,IEEE
"Zhu, Yucheng; Zhai, Guangtao; Gu, Ke; Liu, Min; ",Blindly evaluating stereoscopic image quality with free-energy principle,2016 IEEE International Symposium on Circuits and Systems (ISCAS),,,2222-2225,2016,IEEE
"Liu, Jing; Yang, Xiaokang; Zhai, Guangtao; Chen, Chang Wen; ",Visual saliency model based on minimum description length,2016 IEEE International Symposium on Circuits and Systems (ISCAS),,,990-993,2016,IEEE
"Lan, Feng; Zhai, Guangtao; Gao, Zhongpai; Yang, Xiaokang; ",Live demonstration: Screen piracy protection using saturation laser attack and tpvm,2016 IEEE International Symposium on Circuits and Systems (ISCAS),,,2376-2376,2016,IEEE
"Liu, Yutao; Zhai, Guangtao; Liu, Xianming; Zhao, Debin; ",Perceptual image quality assessment combining free-energy principle and sparse representation,2016 IEEE International Symposium on Circuits and Systems (ISCAS),,,1586-1589,2016,IEEE
"Min, Xiongkuo; Zhai, Guangtao; Gu, Ke; Fang, Yuming; Yang, Xiaokang; Wu, Xiaolin; Zhou, Jiantao; Liu, Xianming; ",Blind quality assessment of compressed images via pseudo structural similarity,2016 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2016,IEEE
"Liu, Min; Gu, Ke; Zhai, Guangtao; Le Callet, Patrick; Zhang, Wenjun; ",Perceptual reduced-reference visual quality assessment for contrast alteration,IEEE Transactions on Broadcasting,63,1,71-81,2016,IEEE
"Song, Li; Liu, Yankai; Yang, Xiaokang; Zhai, Guangtao; Xie, Rong; Zhang, Wenjun; ",The SJTU HDR video sequence dataset,Proceedings of International Conference on Quality of Multimedia Experience (QoMEX 2016),,,100,2016,
"Hu, Meng-Han; Chen, Xiao-Jing; Ye, Peng-Chao; Chen, Xi; Shi, Yi-Jian; Zhai, Guang-Tao; Yang, Xiao-Kang; ",Combination of multiple model population analysis and mid-infrared technology for the estimation of copper content in Tegillarca granosa,Infrared Physics & Technology,79,,198-204,2016,Pergamon
"Liu, Min; Gu, Ke; Zhai, Guangtao; Le Callet, Patrick; ",Visual saliency detection via image complexity feature,2016 IEEE International Conference on Image Processing (ICIP),,,2777-2781,2016,IEEE
"Wang, Yan; Zhai, Guangtao; ",Multiple image arrangement for subjective quality assessment,Proceedings of the International Conference on Internet Multimedia Computing and Service,,,260-263,2016,
"Han, Zongxi; Zhai, Guangtao; Liu, Yutao; Gu, Ke; Zhang, Xinfeng; ",A reduced-reference quality assessment scheme for blurred images,2016 Visual Communications and Image Processing (VCIP),,,1-4,2016,IEEE
"Chen, Yuanchun; Liu, Ning; Zhai, Guangtao; Gu, Ke; Wang, Jia; Gao, Zhongpai; Zhu, Yucheng; ",Quality assessment for dual-view display system,2016 Visual Communications and Image Processing (VCIP),,,1-4,2016,IEEE
"Chen, Xiaohui; Zhai, Guangtao; Wang, Jia; Hu, Chunjia; Chen, Yuanchun; ",Color guided thermal image super resolution,2016 Visual Communications and Image Processing (VCIP),,,1-4,2016,IEEE
"Wei, Qianqian; Zhai, Guangtao; Hu, Chunjia; Min, Xiongkuo; ",Visual attention analysis and prediction on human faces with mole,2016 Visual Communications and Image Processing (VCIP),,,1-4,2016,IEEE
"Liu, Ning; Zhai, Guangtao; ",Free energy adjusted peak signal to noise ratio (FEA-PSNR) for image quality assessment,Sensing and Imaging,18,1,11,2017,Springer US New York
"Chen, Yuanchun; Liu, Ning; Zhai, Guangtao; Gao, Zhongpai; Gu, Ke; ",Information security display system on android device,2016 IEEE Region 10 Conference (TENCON),,,1634-1637,2016,IEEE
"Hu, Meng-Han; Zhai, Guang-Tao; Li, Duo; Fan, Ye-Zhao; Chen, Xiao-Hui; Yang, Xiao-Kang; ",Synergetic use of thermal and visible imaging techniques for contactless and unobtrusive breathing measurement,Journal of biomedical optics,22,3,036006-036006,2017,Society of Photo-Optical Instrumentation Engineers
"Yang, Xiaokang; Zhai, Guangtao; ","Digital TV and Wireless Multimedia Communication: 13th International Forum, IFTC 2016, Shanghai, China, November 9-10, 2016, Revised Selected Papers",,,,,2017,Springer
"Zhang, Chongyang; Ni, Bingbing; Song, Li; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",BEST: benchmark and evaluation of surveillance task,Asian Conference on Computer Vision,,,393-407,2016,Springer International Publishing Cham
"Liu, N.; Zhai, G.; ",The impact of phase transition on quality assessment of natural images,"Signal and Information Processing (GlobalSIP), 2016 IEEE Global Conference on",,,1228-1232,2016,IEEE
"Gao, Zhongpai; Zhai, Guangtao; Wang, Jia; ",Spatially-weighted nonnegative matrix factorization with application to temporal psychovisual modulation,Digital Signal Processing,67,,123-130,2017,Academic Press
"Gu, Ke; Zhou, Jun; Qiao, Jun-Fei; Zhai, Guangtao; Lin, Weisi; Bovik, Alan Conrad; ",No-reference quality assessment of screen content pictures,IEEE Transactions on Image Processing,26,8,4005-4018,2017,IEEE
"Li, Duo; Zhai, Guangtao; Yang, Xiaokang; Hu, Menghan; Liu, Jing; ",Perceptual information hiding based on multi-channel visual masking,Neurocomputing,269,,170-179,2017,Elsevier
"Zhang, Yi; Zhai, Guangtao; Liu, Jing; Weng, Xinlin; Chen, Yuanchun; ",‘Window of visibility’inspired security lighting system,"2017 International Conference on Systems, Signals and Image Processing (IWSSIP)",,,1-5,2017,IEEE
"Zhu, Yucheng; Zhai, Guangtao; Gu, Ke; Zhu, Wenhan; ",No-reference quality assessment for JPEG compressed images,2017 Ninth International Conference on Quality of Multimedia Experience (QoMEX),,,1-6,2017,IEEE
"Duan, Huiyu; Zhai, Guangtao; Yang, Xiaokang; Li, Duo; Zhu, Wenhan; ",IVQAD 2017: An immersive video quality assessment database,"2017 international conference on systems, signals and image processing (IWSSIP)",,,1-5,2017,IEEE
"Hu, Menghan; Min, Xiongkuo; Zhu, Wenhan; Zhu, Yucheng; Wang, Zhaodi; Yang, Xiaokang; Tian, Guang; ",Terahertz security image quality assessment by no-reference model observers,International Forum on Digital TV and Wireless Multimedia Communications,,,100-114,2017,Springer Singapore Singapore
"Fang, Wenbin; Zhai, Guangtao; Yang, Xiaokang; ",A flash light system for individuals with visual impairment based on TPVM,2016 7th International Conference on Cloud Computing and Big Data (CCBD),,,362-366,2016,IEEE
"Zhai, Guangtao; ",On blind quality assessment of JPEG images,2016 7th International Conference on Cloud Computing and Big Data (CCBD),,,322-328,2016,IEEE
"Zhu, Wenhan; Zhai, Guangtao; Liu, Jing; Wang, Jia; Yang, Xiaokang; ",Distinguish true or false 4k resolution using frequency domain analysis and free-energy modelling,2016 7th International Conference on Cloud Computing and Big Data (CCBD),,,197-202,2016,IEEE
"Chen, Yuanchun; Zhai, Guangtao; Gao, Zhongpai; Gu, Ke; Zhang, Wenjun; Hu, Menghan; Liu, Jing; ",Movie piracy tracking using temporal psychovisual modulation,2017 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),,,1-4,2017,IEEE
"Fang, Wenbin; Zhai, Guangtao; Yang, Xiaokang; Liu, Jing; Chen, Yuanchun; ",An eye-friendly dual-view projection system using temporal psychovisual modulation,2017 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),,,1-5,2017,IEEE
"Wang, Anyang; Zhai, Guangtao; Chen, Yuanchun; Che, Zhaohui; Yang, Xiaokang; ",Subjective and objective quality assessment for color changed images,2017 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),,,1-6,2017,IEEE
"Liu, Yutao; Zhai, Guangtao; Gu, Ke; Liu, Xianming; Zhao, Debin; Gao, Wen; ",Reduced-reference image quality assessment in free-energy principle and sparse representation,IEEE Transactions on Multimedia,20,2,379-391,2017,IEEE
"Min, Xiongkuo; Ma, Kede; Gu, Ke; Zhai, Guangtao; Wang, Zhou; Lin, Weisi; ","Unified blind quality assessment of compressed natural, graphic, and screen content images",IEEE Transactions on Image Processing,26,11,5462-5474,2017,IEEE
"Min, Xiongkuo; Zhai, Guangtao; Gu, Ke; Liu, Jing; Wang, Shiqi; Zhang, Xinfeng; Yang, Xiaokang; ",Visual attention analysis and prediction on human faces,Information Sciences,420,,417-430,2017,Elsevier
"Sun, Wei; Zhai, Guangtao; Min, Xiongkuo; Liu, Yutao; Ma, Siwei; Liu, Jing; Zhou, Jiantao; Liu, Xianming; ",Dynamic backlight scaling considering ambient luminance for mobile energy saving,2017 IEEE International Conference on Multimedia and Expo (ICME),,,25-30,2017,IEEE
"Dong, Li; Zhou, Jiantao; Zhai, Guangtao; ",Efficient image sensor noise estimation via iterative re-weighted least squares,2017 IEEE International Conference on Multimedia and Expo (ICME),,,1326-1331,2017,IEEE
"Jiang, He; Zhai, Guangtao; Yang, Jie; ",Single image detail enhancement via residual homogeneity,2017 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),,,238-242,2017,IEEE
"Hu, Menghan; Zhai, Guangtao; Li, Duo; Fan, Yezhao; Duan, Huiyu; Zhu, Wenhan; Yang, Xiaokang; ",Dual-mode imaging system for non-contact heart rate estimation during night,2017 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),,,97-102,2017,IEEE
"Lao, Jiangwei; Chen, Yinsheng; Li, Zhi-Cheng; Li, Qihua; Zhang, Ji; Liu, Jing; Zhai, Guangtao; ",A deep learning-based radiomics model for prediction of survival in glioblastoma multiforme,Scientific reports,7,1,10353,2017,Nature Publishing Group UK London
"Lao, Jiangwei; Chen, Yinsheng; Li, Qihua; Zhang, Ji; Liu, Jing; Li, Zhi-Cheng; Zhai, Guangtao; ",Supplementary Information A Deep Learning-Based Radiomics Model for Prediction of Survival in Glioblastoma Multiforme,,,,,2017,
"Min, Xiongkuo; Gu, Ke; Zhai, Guangtao; Hu, Menghan; Yang, Xiaokang; ",Saliency-induced reduced-reference quality index for natural scene and screen content images,Signal Processing,145,,127-136,2018,Elsevier
"Hu, Meng-Han; Zhao, Yu; Zhai, Guang-Tao; ",Active learning algorithm can establish classifier of blueberry damage with very small training dataset using hyperspectral transmittance data,Chemometrics and Intelligent Laboratory Systems,172,,52-57,2018,Elsevier
"Zhu, Wenhan; Zhai, Guangtao; Hu, Menghan; Liu, Jing; Yang, Xiaokang; ",Arrow’s impossibility theorem inspired subjective image quality assessment approach,Signal Processing,145,,193-201,2018,Elsevier
"Hu, Menghan; Zhai, Guangtao; Li, Duo; Fan, Yezhao; Duan, Huiyu; Zhu, Wenhan; Yang, Xiaokang; ",Combination of near-infrared and thermal imaging techniques for the remote and simultaneous measurements of breathing and heart rates under sleep situation,PloS one,13,1,e0190466,2018,"Public Library of Science San Francisco, CA USA"
"Min, Xiongkuo; Gu, Ke; Zhai, Guangtao; Liu, Jing; Yang, Xiaokang; Chen, Chang Wen; ",Blind quality assessment based on pseudo-reference image,IEEE Transactions on Multimedia,20,8,2049-2062,2017,IEEE
"Zeng, Yi; Li, Duo; Zhai, Guangtao; ",Indoor localization system for individuals with visual impairment,International Forum on Digital TV and Wireless Multimedia Communications,,,478-491,2017,Springer Singapore Singapore
"Luo, Weike; Zhai, Guangtao; ",Offline handwritten Chinese character recognition based on new training methodology,International Forum on Digital TV and Wireless Multimedia Communications,,,235-244,2017,Springer Singapore Singapore
"Che, Zhaohui; Zhai, Guangtao; Gu, Ke; Le Callet, Patrick; ",Reduced-reference quality metric for screen content image,2017 IEEE International Conference on Image Processing (ICIP),,,1852-1856,2017,IEEE
"Sun, Wei; Gu, Ke; Zhai, Guangtao; Ma, Siwei; Lin, Weisi; Le Calle, Patrick; ",CVIQD: Subjective quality evaluation of compressed virtual reality images,2017 IEEE international conference on image processing (ICIP),,,3450-3454,2017,IEEE
